date;Name / Description;Code;Debit / Credit (D / C);Amount €;Transaction type;Notification
20240102;RSG Group GmbH;531;Debit;24.90;Direct debit;Yes
20240102;LIDL;931;Debit;40.88;Card payment;Yes
20240103;AMAZON;531;Debit;4.24;Direct debit;Yes
20240103;Tele Columbus Multimedia GmbH ;531;Debit;10.00;Direct debit;Yes
20240104;Vodafone West GmbH;531;Debit;49.99;Direct debit;Yes
20240108;LIDL;931;Debit;32.62;Card payment;Yes
20240108;AMAZON;531;Debit;48.00;Direct debit;Yes
20240109;LIDL;931;Debit;37.00;Card payment;Yes
20240111;LIDL;931;Debit;26.65;Card payment;Yes
20240115;DM DROGERIEMARKT;931;Debit;28.40;Card payment;Yes
20240115;VOLKSBANK ;931;Debit;50.00;Withdrawal;Yes
20240115;AOK Hessen;531;Debit;361.00;Direct debit;Yes
20240117;Bundesagentur für Arbeit;531;Credit;250.00;Credit;Yes
20240117;OTTO payments;518;Debit;25.00;Transfer;Yes
20240117;Master card;510;Debit;120.00;SEPA Transfer;Yes
20240118;LIDL;931;Debit;43.49;Card payment;Yes
20240119;ABU;532;Credit;50.00;Credit;Yes
20240119;PVS bayern GmbH;510;Debit;27.79;SEPA Transfer;Yes
20240122;LIDL;931;Debit;40.40;Card payment;Yes
20240123;AMAZON;531;Debit;30.55;Direct debit;Yes
20240123;DM DROGERIEMARKT;931;Debit;37.30;Card payment;Yes
20240124;AFRICAN BAZAAR;931;Debit;26.89;Card payment;Yes
20240124;Neukauf Lemler EDEKA;931;Debit;39.00;Card payment;Yes
20240129;LIDL;931;Debit;19.45;Card payment;Yes
20240130;ABU;532;Credit;700.00;Credit;Yes
20240131;VOLKSBANK ;905;Debit;1.50;Bank charge;Yes
20240131;Vodafone ;531;Debit;49.99;Direct debit;Yes
20240201;Tele Columbus Multimedia GmbH;531;Debit;10.00;Direct debit;Yes
20240201;LIDL;931;Debit;29.77;Card payment;Yes
20240201;RSG Group GmbH;531;Debit;39.90;Direct debit;Yes
20240202;AMAZON;531;Debit;8.90;Direct debit;Yes
20240205;TOOM ;931;Debit;19.98;Card payment;Yes
20240205;LIDL;931;Debit;31.51;Card payment;Yes
20240205;DM DROGERIEMARKT;931;Debit;35.70;Card payment;Yes
20240206;LIDL;931;Debit;29.23;Card payment;Yes
20240207;MH Muller Handels GmbH;931;Debit;16.57;Card payment;Yes
20240208;AMAZON;531;Debit;10.12;Direct debit;Yes
20240212;ABU;532;Credit;400.00;Credit;Yes
20240212;AOK Hessen;510;Debit;10.00;SEPA Transfer;Yes
20240212;Neukauf Lemler EDEKA;931;Debit;23.21;Card payment;Yes
20240213;LIDL;931;Debit;35.68;Card payment;Yes
20240215;VOLKSBANK ;4020;Debit;30.00;Withdrawal;Yes
20240215;Energie und Versorgung Butzbach GmbH;531;Debit;161.00;Direct debit;Yes
20240215;AOK Hessen;531;Debit;223.88;Direct debit;Yes
20240216;ABU;531;Credit;100.00;Credit;Yes
20240216;Bundesagentur für Arbeit;531;Credit;250.00;Credit;Yes
20240216;AMAZON;531;Debit;9.80;Direct debit;Yes
20240216;PayPal;531;Debit;72.52;Direct debit;Yes
20240219;OTTO payments;510;Debit;25.00;SEPA Transfer;Yes
20240219;Master card;510;Debit;105.00;SEPA Transfer;Yes
20240219;Justus Liebig Universität;510;Debit;314.87;SEPA Transfer;Yes
20240220;MH Muller Handels GmbH;931;Debit;16.57;Card payment;Yes
20240221;LIDL;931;Debit;26.84;Card payment;Yes
